Título_Público Descricao_pública																																																				
Açúcar de frutas e aplicação em bolos como substituto da sacarose O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil	dessa maneira	contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário	a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.																																																
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo	agregação de valor e diferenciação de sabores	em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras	devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor	aroma e alto nível de aceitação ampliando a diversificação de produtos.																																															
Desenvolvimento de cobertura líquida para sorvete O Brasil é considerado um país com a maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma	busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais	sociais e econômicos	o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC)	alimentos e nutrição humana	linhas estas	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																											
Desenvolvimento de conserva de tomate cereja O Brasil é considerado o país com maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas	que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis	entendidas como as que integram benefícios ambientais	sociais e econômicos	e com diferencial competitivo. Em Mato Grosso do Sul	entre os abundantes frutos nativos do Cerrado	o baru (Dipteryx alata)	têm se destacado por ser fonte de renda para famílias	contribuindo para a conservação da biodiversidade. Neste sentido	através da inovação tecnológica	o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado	contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.																																						
Desenvolvimento de massa alimentícia enriquecida com fruto nativo do Cerrado e Pantanal Nos últimos anos a comunidade científica tem despertado interesse na elaboração de alimentos utilizando como ingrediente a polpa desse fruto	devido à composição apresentada e com o intuito de incrementar nutricionalmente esses alimentos	agregando compostos bioativos e fibras	aliado a isso	a sociedade tem se tornado mais consciente	valorizando produtos e empresas que possuem a iniciativa de preservar os recursos naturais e estejam alinhados com os Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).  As massas alimentícias produzidas no Brasil são compostas majoritariamente por matérias-primas alimentícias comuns como farinha de trigo e ou farinha de trigo misturada com outras farinhas (outros cereais integrais	amidos	amidos modificados	fécula de batata	fécula de mandioca	maltodextrina	batata	mandioca	mandioquinha) e biomassa de banana verde. Esta proposta vem ao encontro dos anseios dos consumidores por alimentos mais nutritivos	com ingredientes produzidos de forma sustentável	com fibras e bioativos	que contribui para o fortalecimento da cadeia da biodiversidade brasileira	geração de renda para os extrativistas	crescimento da empresa e desenvolvimento da bioeconomia no Mato Grosso do Sul.																																		
Desenvolvimento de Mistura Instantânea (Tipo Cappuccino) vegana com extrato vegetal seco O Estado de Mato Grosso do Sul apresenta uma grande diversidade de espécies nativas	sendo necessárias técnicas que auxiliem a valorização e preservação de seus biomas	principalmente Cerrado e Pantanal. A inclusão de produtos advindos de nossa sociobiodiversidade auxilia no desenvolvimento local	além de proporcionar a obtenção de novos produtos	com características diferenciadas e valor agregado.  Esta visão consciente	inclusiva	acolhedora e sustentável se mostra tendência para as indústrias e comércios	sendo necessário um estudo sobre os possíveis substitutos das matérias-primas de origem animal	assim como sua estabilidade e características finais no produto. Um produto natural	derivado do cacau e com ingredientes de origem vegetal derivados do bioma Cerrado e Pantanal pode ser uma opção para atender o mercado vegano e consumidores que buscam produtos saudáveis.																																											
Desenvolvimento de mistura instantânea a base de café e cacau com ingredientes de origem vegetal O cacau é um fruto versátil	principalmente devido ao seu sabor	muito utilizado na forma de cacau em pó	polpa de cacau	chocolates	entre outros. Além do sabor	o cacau tem várias propriedade funcionais	como antioxidantes	anti-inflamatórias	diminuição do LDL-colesterol e na queda da prevalência e incidência de doenças cardiovasculares. É comum encontrar os produtos derivados do cacau com alta concentração de aditivos e açucares	o que pode diminuir as propriedades funcionais do cacau. Dessa forma um produto natural	derivado do cacau e com ingredientes de origem vegetal derivados do bioma Cerrado e Pantanal pode ser uma opção para atender o mercado vegano e consumidores que buscam produtos saudáveis. O Estado de Mato Grosso do Sul apresenta uma grande diversidade de espécies nativas	sendo necessárias técnicas que auxiliem a valorização e preservação de seus biomas	principalmente Cerrado e Pantanal. A inclusão de produtos advindos de nossa sociobiodiversidade auxilia no desenvolvimento local	além de proporcionar a obtenção de novos produtos	com características diferenciadas e valor agregado.																																					
Desenvolvimento de molhos pesto de manjericão com castanhas do Brasil Os pesquisadores na área da tecnologia de alimentos destacam a importância de pesquisas com o objetivo de inserir no mercado	produtos de fácil preparo	seguro e que tragam benefícios para saúde do consumidor.  Visando atender a busca por alimentos de qualidade e	paralelamente	a oferta destes em serviços de alimentação	esta proposta visa desenvolver dois molhos pesto de manjericão com castanhas do Brasil.																																															
Desenvolvimento de Shake instantâneo com frutos A busca por alimentos saudáveis e funcionais tem se intensificado na última década	o que aumentou com a ocorrência da pandemia Covid-19. Desta forma	um novo mercado vem se desenvolvendo por meio de estratégias associadas às mudanças desses padrões de consumo e da percepção de conscientização ecológica e de sustentabilidade da população	atenta ao meio ambiente. Nesse contexto	destaca-se a relevância da proposta de pesquisa com o objetivo de desenvolver produtos que conquistem o mercado relacionado com a sustentabilidade	facilidade e economia	especialmente no sentido de que o alimento processado não venha a exigir investimento de alto custo relacionado à manutenção da cadeia do frio. Importante ressaltar	ao estudar a possibilidade de desenvolver produtos	com aproveitamento de frutos nativos	a necessidade de formular um alimento com potencialidades nutricionais	funcionais e sensoriais	que amplia as perspectivas de sua utilização industrial. Assim	desenvolver/formular um novo produto	significa obter uma nova opção de produto para o mercado de alimentos funcionais e até para fim especial	sensorialmente aceito pelo público alvo e/ou comunidades.																																						
Desenvolvimento de suplemento energético Atualmente observa-se uma mudança no perfil do consumidor	com maior preocupação com a saúde	buscando alternativas de produtos saudáveis	sustentáveis e práticos	devido ao ritmo acelerado da população. A proposta visa desenvolver um produto energético	natural e sustentável a base de mel	para atender	principalmente a população de atletas que desejam atingir a performance e necessitam submeter-se a processos de treinamento	a fim de induzir automação de habilidades motoras e desempenho de funções metabólicas e estruturais	promovendo também autoconfiança e tolerância a altos níveis de treinamento e competições. A capacidade de produção de energia influencia muito o desempenho do atleta. Estudiosos investigam a relação entre a nutrição e o desempenho físico dos atletas. Os resultados mostram que a ingestão de carboidratos antes	durante e depois dos exercícios afetam o desempenho do atleta. A mistura dos carboidratos	glicose e frutose	é a maneira mais adequada para prevenir fadigas e aumentar o rendimento. O produto que será desenvolvido	terá objetivo de ser um pré-treino natural para atletas	que não fornecerá apenas energia	para as atividades físicas	mas também nutrientes para sua recuperação e manutenção da saúde	salienta-se que a alimentação do atleta necessita de cuidados especiais tendo em vista a comprovação de que a ingestão insuficiente e baixos níveis de vitaminas antioxidantes no plasma aumentam os danos oxidativos e limitam a performance física. A proposta contribui para os Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU)	está diretamente ligado ao desenvolvimento social	ambiental e econômico na cadeia produtiva de alimentos	contribuindo para minimizar a interferência e a degradação da natureza	corroborando com a produção integrada na agropecuária. Na área econômica	contribui na geração de renda	agregando valores ao mel	principal produto da cadeia	podendo possibilitar lucratividade superior a outras atividades rurais. No desenvolvimento social	valorizar o produtor no campo	o que pode contribuir para a redução do êxodo rural e desenvolvimento da indústria com agregação no valor do produto final	com valorização do trabalho. Desenvolvimento ambiental	além de não degradar os recursos naturais	contribui com o aumento da conscientização da importância e da necessidade de preservação da natureza.																						
Fertilizantes organominerais formulados a partir de remineralizadores	resíduos orgânicos e microrganismos O presente contrato gerará um produto inovador e capaz de promover mudanças no cenário econômico	apresentando-se íntegro	sustentável e com responsabilidade social. A inovação tecnológica de fertilizantes organominerais está diretamente ligado a concepção social	ambiental e econômica na cadeia produtiva de alimentos	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																															
Uso de fungos entomopatogênicos no controle de Spodoptera frugiperda Os fungos entomopatogênicos possuem métodos para evadir do sistema imunológico do seu hospedeiro. De forma sucinta	essa evasão pode ocorrer de três formas: tolerância às defesas imunológica dos insetos	alterações na superfície de suas células e produção de substâncias imunomoduladoras. Essas substâncias podem	por exemplo	ser supressoras do gene para peptídeos antimicrobianos (PAMs) ou podem inibir proteases.  A utilização conjunta de adjuvantes e microrganismos entomopatogênicos é capaz de auxiliar na redução da população e incidência das pragas e doenças	maximizando o potencial como agentes de controle	devido a presença de substâncias contidas nos produtos fitossanitários químicos que conseguem atuar como estressantes	favorecendo a infecção pelos microrganismos. Os produtos de baixo impacto são importantes para a agricultura não apenas pelos aspectos toxicológico e ambiental	mas também por beneficiar as culturas de suporte fitossanitário insuficiente	uma vez que esses produtos são aprovados por pragas-alvo e podem ser recomendados em qualquer cultura promovendo o desenvolvimento sustentável na produção de alimentos.  A proposta visa desenvolver um bioinsumo inovador eficiente no controle de Spodoptera frugiperda para o uso sustentável em produção agrícola	diminuindo a dependência de importação	redução de custos e produção de alimentos baseado em recursos mais sustentáveis	contribuindo para o avanço da bioeconomia.																																								
Uso de fungos no controle de Spodoptera frugiperda O objetivo deste projeto encontra-se em consonância com itens 6	11	e 12 da ODS devido a produção de alimentos mais saudáveis sem resíduos químicos utilizando-se microrganismos entomopatogênicos para manejo das lagartas	consequentemente obterá a produção responsável e comunidades sustentáveis com menor impacto no meio ambiente. A consolidação de uma rede de pesquisa no desenvolvimento e na inovação de controle biológico poderá promover ações empreendedoras para o setor agrícola e novos modelos de negócios em parcerias público-privadas. Aliado a isso	professores e pesquisadores da instituição de ensino se aproximarão mais das indústrias e do setor produtivo	estreitarndo o relacionamento entre indústria e Universidade	unindo os conhecimentos gerados através da pesquisa inovadora e transferindo para os produtores de alimento	contribuindo para o avanço bioeconômico do país.																																													
Vida útil de castanha de baru torrada acondicionada em embalagens herméticas e uso sílica Desenvolver e avaliar revestimentos biodegradáveis e comestíveis e garantir a qualidade de castanhas de baru torradas																																																				
